Feature,Importance
num__age,0.4557216878987012
num__odometer,0.21189817185559578
num__year,0.05495573900274903
cat__fuel_diesel,0.051772299615592925
cat__model_reduced_other,0.008522273226760461
cat__transmission_other,0.007827646904020978
cat__manufacturer_volkswagen,0.007542059635396766
cat__title_status_clean,0.007310945490028443
cat__manufacturer_chevrolet,0.006160956352086299
cat__manufacturer_nissan,0.006117983274979208
cat__manufacturer_ram,0.005925723049466503
cat__manufacturer_hyundai,0.005560541861281671
cat__manufacturer_gmc,0.005526743911295952
cat__manufacturer_kia,0.005393863541491132
cat__model_reduced_f-150,0.005032776599092562
cat__manufacturer_ford,0.004762204603047014
cat__manufacturer_toyota,0.0042828388321225555
cat__transmission_automatic,0.004270514689186055
cat__fuel_other,0.0037087804811725424
cat__model_reduced_silverado 1500,0.0036706108153319187
cat__manufacturer_jeep,0.0035094275553229073
cat__manufacturer_mercedes-benz,0.0034955762514247944
cat__transmission_manual,0.0033455750451331016
cat__manufacturer_honda,0.00331225533947323
cat__manufacturer_lexus,0.0032015503325471904
cat__manufacturer_dodge,0.002919997901917294
cat__model_reduced_focus,0.0029124288207176413
cat__model_reduced_wrangler,0.0026975144279871373
cat__manufacturer_mitsubishi,0.002641168140765021
cat__model_reduced_tacoma,0.0023472373183511816
cat__manufacturer_chrysler,0.0023442196756619706
cat__manufacturer_bmw,0.0022835773762729453
cat__model_reduced_cruze,0.00207272238560547
cat__model_reduced_tundra,0.0020270909179701305
cat__manufacturer_porsche,0.002013115446833117
cat__model_reduced_malibu,0.0019622458836131423
cat__model_reduced_corolla,0.0018995743381907666
cat__fuel_gas,0.0018681194963395377
cat__manufacturer_mazda,0.001747696805494892
cat__model_reduced_camry,0.0016796095669338225
cat__model_reduced_silverado,0.0016762278057613482
cat__model_reduced_impala,0.0016205486917951302
cat__manufacturer_buick,0.0015832403240665924
cat__manufacturer_subaru,0.0015363558503032073
cat__model_reduced_fusion,0.0015351559837461092
cat__manufacturer_audi,0.0014971776148925888
cat__model_reduced_escape,0.0014721327852002775
cat__manufacturer_cadillac,0.0014600931383686442
cat__fuel_hybrid,0.0013786858291427733
cat__manufacturer_fiat,0.001269506613160134
cat__model_reduced_fiesta,0.0012525661302552646
cat__title_status_salvage,0.0012325336819869644
cat__model_reduced_escalade,0.0012150310738075012
cat__model_reduced_corvette,0.0011894990044135293
cat__model_reduced_silverado 2500hd,0.0011629808201998268
cat__model_reduced_focus se,0.0011398104578533054
cat__manufacturer_pontiac,0.0011237233529214135
cat__model_reduced_tahoe,0.0010536867278151385
cat__title_status_missing,0.001026777029991452
cat__model_reduced_f150,0.0009921998078712116
cat__model_reduced_wrangler unlimited,0.0009671224384677605
cat__model_reduced_taurus,0.0009610014182285063
cat__manufacturer_mini,0.0009385224597351238
cat__manufacturer_acura,0.0009331262007981545
cat__model_reduced_equinox,0.0009116814187777032
cat__model_reduced_mustang,0.0009049746408641039
cat__model_reduced_spark,0.0009018054693691851
cat__model_reduced_suburban,0.0008970864315305935
cat__manufacturer_rover,0.0008922529304591654
cat__title_status_rebuilt,0.0008839064023251241
cat__manufacturer_infiniti,0.0008836339150750281
cat__model_reduced_titan,0.0008439553375995562
cat__title_status_lien,0.00083301702141266
cat__manufacturer_lincoln,0.0008302800155895018
cat__model_reduced_explorer,0.0008226885582179621
cat__model_reduced_4runner,0.0008105301613493278
cat__model_reduced_patriot,0.0007747535538696127
cat__model_reduced_versa,0.0007485745996341422
cat__manufacturer_volvo,0.0007444700806166972
cat__fuel_electric,0.0007114401049848181
cat__model_reduced_terrain,0.0007032548190268005
cat__model_reduced_f-250,0.0006888623064827383
cat__model_reduced_sonic,0.0006886312359873906
cat__model_reduced_fusion se,0.0006733190040204328
cat__manufacturer_jaguar,0.0006575555388221456
cat__manufacturer_mercury,0.0006483471093345239
cat__model_reduced_sentra,0.0006321497326690815
cat__model_reduced_altima,0.0006196064840664512
cat__manufacturer_saturn,0.0006163729391605562
cat__model_reduced_charger,0.0005838225075448636
cat__model_reduced_super duty f-350 srw,0.0005755795877382828
cat__model_reduced_1500,0.000555331406396857
cat__model_reduced_camaro,0.0005542905207609016
cat__model_reduced_frontier,0.0005403720161076318
cat__model_reduced_compass,0.0005299535236195941
cat__model_reduced_grand caravan,0.0005270663222010371
cat__model_reduced_civic,0.0005193133469168649
cat__model_reduced_f250,0.0005115978323246151
cat__model_reduced_f-350,0.0005102323517044014
cat__model_reduced_avalanche,0.0005092370434466495
cat__model_reduced_rav4,0.00045562290499131364
cat__model_reduced_super duty f-250,0.0004540128503057282
cat__model_reduced_grand cherokee,0.00044833940108731903
cat__model_reduced_acadia,0.00044818514472599945
cat__model_reduced_cruze lt,0.00044758635462788823
cat__model_reduced_2500,0.00044386995345069215
cat__model_reduced_challenger,0.00044175523994798433
cat__manufacturer_tesla,0.0004228922234461549
cat__model_reduced_cherokee,0.00041718211454445654
cat__model_reduced_200,0.0004150036090728536
cat__model_reduced_3500,0.0004000274784903991
cat__model_reduced_pilot,0.0003847419161051502
cat__model_reduced_avalon,0.00038440348707134795
cat__model_reduced_highlander,0.00038040113012591855
cat__model_reduced_cr-v,0.0003603794270387352
cat__model_reduced_durango,0.00035928734136885264
cat__model_reduced_ranger,0.00035718853302863716
cat__model_reduced_f350,0.00035563240671898747
cat__model_reduced_camry le,0.00035513403183519296
cat__model_reduced_f350 super duty,0.0003546514438323243
cat__model_reduced_corvette grand sport,0.00035246289071416985
cat__model_reduced_odyssey,0.00035130535000940395
cat__model_reduced_accord,0.00035075951601784924
cat__model_reduced_expedition,0.00034103745561453924
cat__model_reduced_edge,0.0003400742082873761
cat__model_reduced_sienna,0.00033673134843816157
cat__model_reduced_wrangler unlimited sahara,0.00033305575816373927
cat__model_reduced_renegade,0.0003327734503130842
cat__model_reduced_trailblazer,0.00032086369980004897
cat__manufacturer_harley-davidson,0.0003171334750116345
cat__model_reduced_f-250 super duty,0.0003159071062979206
cat__model_reduced_dart,0.00031052636645279713
cat__model_reduced_super duty f-250 srw,0.00031039077210103406
cat__model_reduced_malibu lt,0.00030339903763660215
cat__model_reduced_silverado 1500 lt,0.00030240213349226104
cat__model_reduced_sierra 1500,0.00030209477852332544
cat__title_status_parts only,0.00030103441528484497
cat__model_reduced_equinox lt,0.0002982710182682006
cat__model_reduced_silverado 3500hd,0.0002940369480485819
cat__model_reduced_elantra,0.00028163487328892545
cat__model_reduced_f250 super duty,0.0002788495079482824
cat__model_reduced_s-class,0.0002784054380838824
cat__model_reduced_corolla le,0.0002775634362709638
cat__model_reduced_colorado,0.00026858305996805084
cat__model_reduced_jetta,0.0002675671783914941
cat__model_reduced_dakota,0.00026557297789269054
cat__model_reduced_liberty,0.0002646599169484204
cat__model_reduced_super duty f-550 drw,0.00026039586840955457
cat__model_reduced_express cargo van,0.0002574794571334976
cat__model_reduced_prius,0.00025243740418996876
cat__model_reduced_sierra,0.00025195825584033057
cat__model_reduced_f-150 xlt,0.0002510518392113238
cat__model_reduced_pt cruiser,0.00024814209128697984
cat__model_reduced_avenger,0.00023496687078709355
cat__model_reduced_sierra 2500hd,0.00023471548834260288
cat__model_reduced_impreza,0.0002280610399757517
cat__model_reduced_f-350 super duty,0.0002196805604439299
cat__model_reduced_journey,0.0002167957126572905
cat__model_reduced_traverse,0.00021559661134395132
cat__model_reduced_escape xlt,0.0002113442340343303
cat__model_reduced_maxima,0.0002075846297453278
