Feature,Coefficient
cat__manufacturer_tesla,0.8866803802518154
cat__model_reduced_corvette,0.7979527802792145
cat__manufacturer_datsun,0.7649806621401898
cat__model_reduced_corvette grand sport,0.7194384371324918
cat__manufacturer_porsche,0.670323664486782
cat__model_reduced_titan,0.6068944996847938
cat__fuel_diesel,0.5925874413802186
cat__model_reduced_tundra,0.5763171239684106
cat__model_reduced_escalade,0.5673978596509871
cat__model_reduced_silverado 3500hd,0.5644262571809086
cat__model_reduced_wrangler unlimited,0.5377459529258832
cat__model_reduced_silverado 2500hd,0.5340220105587085
cat__model_reduced_s-class,0.5331420045838458
cat__model_reduced_wrangler,0.5065839823485175
cat__model_reduced_wrangler unlimited sahara,0.4878542735602391
cat__model_reduced_challenger,0.47697355767853417
cat__model_reduced_wrangler unlimited rubicon,0.45531059285394243
cat__model_reduced_super duty f-350 srw,0.45414363857091167
cat__model_reduced_4runner,0.4352167168481516
cat__model_reduced_super duty f-250,0.43133252996981286
cat__model_reduced_f-250,0.4242328097057213
cat__model_reduced_tacoma,0.42030045817326506
cat__model_reduced_silverado 1500,0.4200028950970889
cat__model_reduced_f-350,0.41064088959277856
cat__model_reduced_silverado 1500 lt,0.4103953649155198
cat__model_reduced_silverado,0.4048449362609279
cat__model_reduced_super duty f-250 srw,0.40330637511000006
cat__model_reduced_f-350 super duty,0.3992573266627118
cat__model_reduced_frontier,0.397772357910991
cat__model_reduced_sierra 2500hd,0.38735010607212633
cat__model_reduced_super duty f-550 drw,0.37317608216592846
cat__model_reduced_avalanche,0.36968436926025416
cat__manufacturer_ram,0.3678426532061393
cat__title_status_clean,0.3668117064505499
cat__title_status_lien,0.3513144111525029
cat__model_reduced_wrangler unlimited sport,0.34893460898064826
cat__model_reduced_mx-5 miata grand touring,0.3385756163839004
cat__model_reduced_f250,0.33724016122718875
cat__model_reduced_tundra crewmax sr5 pickup,0.3234847574943644
cat__model_reduced_camaro,0.32036993644704714
cat__model_reduced_enclave,0.31884190028837833
cat__model_reduced_suburban,0.3180014413841372
cat__manufacturer_gmc,0.31431339692532717
cat__model_reduced_tahoe,0.3139728411677505
cat__model_reduced_cx-5,0.30488849581188815
cat__model_reduced_ls 460 sedan 4d,0.30162139298998086
cat__model_reduced_sierra 1500,0.3004137858255025
cat__manufacturer_rover,0.295801429569849
cat__model_reduced_sierra,0.2954955615591449
cat__model_reduced_challenger r/t coupe 2d,0.2919051336595071
cat__model_reduced_camaro ss coupe 2d,0.2895324639484071
cat__model_reduced_f-250 super duty,0.2888585843236296
cat__model_reduced_express cargo van,0.28756370255903163
cat__model_reduced_f-150,0.2751008091136068
cat__model_reduced_2500,0.27249171888081464
cat__model_reduced_sport,0.2681137417535855
cat__model_reduced_pilot,0.26593726255798117
cat__model_reduced_sorento,0.2619242727725134
cat__model_reduced_mdx sh-awd sport utility,0.25736027385747323
cat__model_reduced_wrx,0.2519254274527518
cat__model_reduced_silverado 1500 crew,0.2514835594895984
cat__model_reduced_durango,0.24983526510092072
cat__manufacturer_lexus,0.24983201346445152
cat__model_reduced_silverado 1500 double,0.24147783684077054
cat__model_reduced_tundra double cab sr,0.24111310452388535
cat__model_reduced_f350,0.23831767722408378
cat__model_reduced_f250 super duty,0.23793277001767282
cat__model_reduced_f-150 xlt,0.2341567593414295
cat__model_reduced_pathfinder,0.22889328130976286
cat__model_reduced_f350 super duty,0.22636345552155526
cat__manufacturer_ford,0.21745017734433522
cat__model_reduced_4runner sr5 sport utility,0.20656578486881047
cat__model_reduced_cr-v,0.20448736428709127
cat__model_reduced_sportage,0.20436407355942046
cat__model_reduced_f150 supercrew cab xlt,0.20375603798007702
cat__model_reduced_wrangler unlimited all new,0.1913714088393617
cat__manufacturer_mercedes-benz,0.19089121446371246
cat__model_reduced_300,0.18676434322311714
num__year,0.18585496495164947
cat__model_reduced_3500,0.18241553343665162
cat__model_reduced_yukon,0.17914142353602658
cat__model_reduced_expedition xlt sport,0.1777800696065445
cat__manufacturer_toyota,0.1733106333147874
cat__model_reduced_mdx,0.16971949390466784
cat__manufacturer_audi,0.16354764012438627
cat__model_reduced_santa fe,0.15656719599143748
cat__model_reduced_charger,0.14406540671244034
cat__model_reduced_tucson,0.14343088918225977
