Feature,Importance
num__age,0.48028221287569145
num__odometer,0.18393605456647685
cat__fuel_diesel,0.055034398275553474
num__year,0.054358328357668864
cat__transmission_other,0.008113696531883503
cat__manufacturer_volkswagen,0.007919705242161755
cat__title_status_clean,0.007454273703599515
cat__model_reduced_other,0.0071195531223153296
cat__manufacturer_nissan,0.006334714763862959
cat__manufacturer_ram,0.006216367769837331
cat__manufacturer_chevrolet,0.006159972379525632
cat__manufacturer_hyundai,0.005882667187557727
cat__manufacturer_gmc,0.005722869683387524
cat__manufacturer_kia,0.00570632985946479
cat__model_reduced_f-150,0.005225902040213587
cat__manufacturer_ford,0.004445340632020172
cat__manufacturer_toyota,0.004279558680290038
cat__model_reduced_silverado 1500,0.003838507519288006
cat__fuel_other,0.0037852133874280713
cat__transmission_automatic,0.003546072405813866
cat__manufacturer_jeep,0.0035293630816161624
cat__manufacturer_mercedes-benz,0.003527959815079695
cat__manufacturer_lexus,0.003314786049176007
cat__manufacturer_honda,0.003297930623154881
cat__model_reduced_focus,0.003081276132298131
cat__manufacturer_dodge,0.002876407148219736
cat__model_reduced_wrangler,0.0028384555121045386
cat__manufacturer_mitsubishi,0.00274980010083219
cat__transmission_manual,0.002698374093115864
cat__model_reduced_tacoma,0.002461827323540203
cat__manufacturer_chrysler,0.0024237421160101173
cat__manufacturer_bmw,0.002211836823340391
cat__model_reduced_cruze,0.002199483519181626
cat__model_reduced_tundra,0.0021416807884816714
cat__manufacturer_porsche,0.0021219668691290572
cat__model_reduced_malibu,0.0020533808557502615
cat__model_reduced_corolla,0.0019988017771716913
cat__manufacturer_mazda,0.0017647591463177661
cat__model_reduced_camry,0.0017461069305671681
cat__fuel_gas,0.0017261511257393892
cat__model_reduced_impala,0.0016857662654298142
cat__model_reduced_silverado,0.0016772891520916544
cat__model_reduced_fusion,0.0016211181620854965
cat__manufacturer_buick,0.0015865198314562107
cat__model_reduced_escape,0.0015390130717904565
cat__manufacturer_subaru,0.00150980288294196
cat__manufacturer_audi,0.0014922994235600903
cat__manufacturer_cadillac,0.0013850229926330173
cat__fuel_hybrid,0.0013819917778235098
cat__manufacturer_fiat,0.0013430186659045592
cat__model_reduced_fiesta,0.0013283803246955496
cat__model_reduced_escalade,0.00128536977154128
cat__model_reduced_corvette,0.00123090542424051
cat__model_reduced_silverado 2500hd,0.001215795422106818
cat__model_reduced_focus se,0.0012049467596583847
cat__title_status_salvage,0.0011271546606013887
cat__manufacturer_pontiac,0.0010929620729399653
cat__model_reduced_tahoe,0.001053544696287367
cat__model_reduced_wrangler unlimited,0.0010202515976743963
cat__title_status_missing,0.0010116153263474165
cat__model_reduced_taurus,0.0010081165067964675
cat__model_reduced_f150,0.0009894112738498635
cat__manufacturer_mini,0.0009597279477980508
cat__model_reduced_spark,0.0009562670826610077
cat__model_reduced_equinox,0.0009406480862949315
cat__manufacturer_acura,0.0009244285803687103
cat__manufacturer_rover,0.0009113822928590031
cat__model_reduced_suburban,0.0009045655996079525
cat__model_reduced_titan,0.0008903654982176496
cat__model_reduced_mustang,0.0008571709632892606
cat__manufacturer_infiniti,0.0008475888781516204
cat__model_reduced_4runner,0.0008310089285316534
cat__model_reduced_explorer,0.0008264126308884169
cat__title_status_lien,0.0008261026062109675
cat__model_reduced_patriot,0.0008159435054681197
cat__model_reduced_versa,0.00079015384452874
cat__manufacturer_lincoln,0.0007888084633666843
cat__model_reduced_terrain,0.0007435524657306701
cat__fuel_electric,0.0007334546814100305
cat__model_reduced_sonic,0.0007280169312502947
cat__title_status_rebuilt,0.0007255497261528693
cat__model_reduced_fusion se,0.0007075785386851985
cat__manufacturer_volvo,0.0007046200584508315
cat__model_reduced_f-250,0.0006813159253196638
cat__model_reduced_sentra,0.0006733716293939842
cat__manufacturer_jaguar,0.000649931611398884
cat__manufacturer_saturn,0.0006310882046033052
cat__manufacturer_mercury,0.0006175282234246533
cat__model_reduced_altima,0.000616926178844407
cat__model_reduced_super duty f-350 srw,0.0006085547553207898
cat__model_reduced_charger,0.0005778811710584867
